type,source,destination,status,hash,notes
symbol,,symbols/analog/Amplifier_Operational.kicad_sym,UNCHANGED,8657aa931850363f03b38705e7e89ba23a74cfd1e3d72886824556f53eb64f74,category=analog
symbol,,symbols/analog/Analog.kicad_sym,UNCHANGED,d8e39c9bc05fcf220597f5a7995cd8f1626e614dcba5e3b600d63248aad8170b,category=analog
symbol,,symbols/analog/Analog_ADC.kicad_sym,UNCHANGED,62d806b56fee0c7876485a67b179ff77ca175ca0d46dc2751ed6c2dae7223879,category=analog
symbol,,symbols/analog/Analog_DAC.kicad_sym,UNCHANGED,479eed3e07dfb5ff307339891cf5adf56b279f6a7356611450400bde4d4326e9,category=analog
symbol,,symbols/analog/Analog_Switch.kicad_sym,UNCHANGED,52749648788e5c169296057d66d6eef8b9580ce044de2877b8e4a13169be5d20,category=analog
symbol,,symbols/analog/Diode_Bridge.kicad_sym,UNCHANGED,c919a32c0bea26bccaeed49cd5d4216d22038ec5b1e9436e2b1f72866bad874b,category=analog
symbol,,symbols/analog/Diode_Laser.kicad_sym,UNCHANGED,478fe5fbe5f42b8cb7dc8db3a9deb1d2ab966a5d60759ad270dda659cad1308c,category=analog
symbol,,symbols/analog/Diode_Official.kicad_sym,UNCHANGED,f46947ae638b9029ccb3ecbbee19e7b42ffcc516f509fe1d3329544c291215b4,"renamed from auto-generated 'Diode_2.kicad_sym'; this file is byte-identical to the upstream official KiCad Diode.kicad_sym and collided (case-insensitive filesystem) with the smaller custom symbols/analog/diode.kicad_sym -- both kept, distinct names"
symbol,,symbols/analog/Driver_FET.kicad_sym,UNCHANGED,fd41073b11a1ce07089b52baaaff60c03d77ea39cffc0d7ef7d8d2c1e8ebe9dd,category=analog
symbol,,symbols/analog/Driver_Relay.kicad_sym,UNCHANGED,7f76cb8d58c7f6220191e323e8b83e557f30d3aa9bb86cba792f826ec9deb6c4,category=analog
symbol,,symbols/analog/FDC608PZ.kicad_sym,UNCHANGED,de98bcae2cb63b32c0c28a175c387973d84e3d735b1212d8dae6c5fe5b6ad9f2,"imported from https://github.com/freeDSP/FreeDSP_ki-CAD_Libraries, symbol only (P-channel MOSFET; no matching local footprint file)"
symbol,,symbols/analog/Filter.kicad_sym,UNCHANGED,74021baa94f143c3431cc7419a756791da6b725f54647dfead240c76e1a89225,category=analog
symbol,,symbols/analog/IMN10T108.kicad_sym,UNCHANGED,9a3c70248880baf994d5dad880e7a6d1a6716f61cb3dcf262a68f35a770a4dbc,"imported from https://github.com/freeDSP/FreeDSP_ki-CAD_Libraries, symbol only (triple switching diode; no matching local footprint file)"
symbol,,symbols/analog/Isolator_Analog.kicad_sym,UNCHANGED,96b668b8b026f57ab084a88b0ae1532a74dbaf6311d328aad1d65525f29b743e,category=analog
symbol,,symbols/analog/Reference_Current.kicad_sym,UNCHANGED,62dd1b3c66024e6791b0b40c590665fa12c589d64a0c9074c6a6e27eedbf812e,category=analog
symbol,,symbols/analog/Reference_Voltage.kicad_sym,UNCHANGED,b0ec5f09481583789eb94a217358fb86e69486d22e0ce1b92ffcfacce14576fd,category=analog
symbol,,symbols/analog/Relay.kicad_sym,UNCHANGED,c645c3400329d9def357559fa2be08322abed1f090ca35455d699caa02d5ccff,category=analog
symbol,,symbols/analog/Relay_SolidState.kicad_sym,UNCHANGED,93553c233e58d7271a6ccfd9d3bcb43c2ae7db1a5252dd3e8022d0161a382abe,category=analog
symbol,,symbols/analog/Sensor.kicad_sym,UNCHANGED,21cffb35c9d985e30867eb63ce0f6a33b48d91063863494a6a7f69d25cdba074,category=analog
symbol,,symbols/analog/Sensor_Current.kicad_sym,UNCHANGED,ee6c756cda9df9d141bc62e6e90f896cf3c0371d489d28e4a75e126219cca5e0,category=analog
symbol,,symbols/analog/Sensor_Distance.kicad_sym,UNCHANGED,9584281ff98b9e8b0657ae62eaa4a1b8485d55fc348ee42066dab0f319b39575,category=analog
symbol,,symbols/analog/Sensor_Energy.kicad_sym,UNCHANGED,8b7561b720aad630a88019ff3c1a4ffd997ddb535c6d1223a3cfe61d3326008f,category=analog
symbol,,symbols/analog/Sensor_Gas.kicad_sym,UNCHANGED,16f80296acd1faaa054009e07d17d8950943fbca2b4418942ad24bbec6fb834b,category=analog
symbol,,symbols/analog/Sensor_Humidity.kicad_sym,UNCHANGED,0f77150dd0d74a82e11c757eded4d546d9ab34350ec00745cbbcfbd60a117917,category=analog
symbol,,symbols/analog/Sensor_Magnetic.kicad_sym,UNCHANGED,043d11a5d2a4bab4ac3a6e878c06158088ea1dbc15db0fef056b4148544ec1c0,category=analog
symbol,,symbols/analog/Sensor_Motion.kicad_sym,UNCHANGED,2282ccc1cfeca91e6e7861fce7e5d7fe33ed3a68e5d48fc626e807baf46b4c41,category=analog
symbol,,symbols/analog/Sensor_Optical.kicad_sym,UNCHANGED,f47fce01f66f34b62ec1393e0901109f847522e152d18d7ac693a592adea7e87,category=analog
symbol,,symbols/analog/Sensor_Pressure.kicad_sym,UNCHANGED,6fe8b2b647f81f559d9a0bb94a2da7833905807df86d1f123d8f5c5652a79e03,category=analog
symbol,,symbols/analog/Sensor_Proximity.kicad_sym,UNCHANGED,a0e90f48ae808f30b1c37e8f7df2223e82031c57e4fd785a79242c1c7cd8bc71,category=analog
symbol,,symbols/analog/Sensor_Temperature.kicad_sym,UNCHANGED,f90ea895bd3070f97819bf25758dd2596e9e555746c3a6d8731d7d45e1974391,category=analog
symbol,,symbols/analog/Sensor_Touch.kicad_sym,UNCHANGED,05e3c720161c64298633292f30cbe93b0ec6c887aa21d8c16515b3a546ecb0ec,category=analog
symbol,,symbols/analog/Sensor_Voltage.kicad_sym,UNCHANGED,a442fc69a4b2e7cdf334c5c7fa78f06690613882cfe27c4d93128bbb6b574ebe,category=analog
symbol,,symbols/analog/Switch.kicad_sym,UNCHANGED,369914c93a68e40e2ac22f35ee338043f26e84fa0407339f23fe8d9639433191,category=analog
symbol,,symbols/analog/Transistor_Array.kicad_sym,UNCHANGED,68dcc274ed6820f4e5595cb0a60d50a26958404b0144ebb85c7d394c354434ee,category=analog
symbol,,symbols/analog/Transistor_BJT.kicad_sym,UNCHANGED,d9eddcd341573b4468736fa81846fc20a65ed51f1990a36070f92430dc61801a,category=analog
symbol,,symbols/analog/Transistor_FET.kicad_sym,UNCHANGED,48f5f0391ea5e44f8fcd719e2d19d3be9761f1d70291ff1d4b72576cdb628d21,category=analog
symbol,,symbols/analog/Transistor_FET_Other.kicad_sym,UNCHANGED,f1349f77de8299faaa01f34e95d9e4e6d61b3a9fd916f93039f0e4593a95346b,category=analog
symbol,,symbols/analog/Transistor_IGBT.kicad_sym,UNCHANGED,6db2bbf4656c047797c47b7c48a54ee2490dcfac72ff61158f16ba91a2f4d019,category=analog
